,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,pred_4
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.658245487
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.668587606
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,8,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.862782942
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.753738952
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.705811221
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.568250695
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.52980863
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.795972627
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.590382345
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,6,8,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.836058881
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.779782737
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,8,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.766578987
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.766710954
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.733130067
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.864978404
